Dates,Filenames
1991-02-28,00.059
1992-02-29,00.425
1993-02-28,00.790
1994-02-28,01.155
1995-02-28,01.520
1996-02-29,01.886
1997-02-28,02.251
1998-02-28,02.616
1999-02-28,02.981
2000-02-29,03.347
2001-02-28,03.712
2002-02-28,04.077
2003-02-28,04.442
2004-02-29,04.808
2005-02-28,05.173
2006-02-28,05.538
2007-02-28,05.903
2008-02-29,06.269
2009-02-28,06.634
2010-02-28,06.999
2011-02-28,07.364
2012-02-29,07.730
2013-02-28,08.095
2014-02-28,08.460
2015-02-28,08.825
2016-02-29,09.191
2017-02-28,09.556
2018-02-28,09.921
2019-02-28,10.286
2020-02-29,10.652
2021-02-28,11.017
2022-02-28,11.382
